employee_id,fullname,nip,company_name,area_name,position_name,department_name,division_name,directorate_name,grade_name,education_name,major_name,years_of_service_months,2021,2022,2023,2024,2025,CEX2021,CEX2022,CEX2023,CEX2024,CEX2025,CSI2021,CSI2022,CSI2023,CSI2024,CSI2025,FTC2021,FTC2022,FTC2023,FTC2024,FTC2025,GDR2021,GDR2022,GDR2023,GDR2024,GDR2025,IDS2021,IDS2022,IDS2023,IDS2024,IDS2025,LIE2021,LIE2022,LIE2023,LIE2024,LIE2025,QDD2021,QDD2022,QDD2023,QDD2024,QDD2025,SEA2021,SEA2022,SEA2023,SEA2024,SEA2025,STO2021,STO2022,STO2023,STO2024,STO2025,VCU2021,VCU2022,VCU2023,VCU2024,VCU2025,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,Papi_A,Papi_B,Papi_C,Papi_D,Papi_E,Papi_F,Papi_G,Papi_I,Papi_K,Papi_L,Papi_N,Papi_O,Papi_P,Papi_R,Papi_S,Papi_T,Papi_V,Papi_W,Papi_X,Papi_Z,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14
EMP100000,Rendra Pratama,806137,PT Aurora Beauty Indonesia,Store,Brand Executive,R&D,Product Dev,Technology,IV,S2,Business,64,2.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,99.0,,4.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,86,75,SI,Steadiness-Influencer,,94.0,33.0,2,1.0,6.0,5.0,,1.0,3.0,5.0,8.0,,7.0,2.0,9.0,3.0,7.0,9.0,3.0,4.0,4.0,2.0,1.0,,Adaptability,Context,Competition,Activator,Positivity,Significance,Empathy,Ideation,Developer,Communication,Command,Analytical,Intellection
EMP100001,Wulan Setiawan,476388,PT Mandala Distribution Center,Store,HRBP,Operations,Talent Management,Technology,III,D3,Design,16,,3.0,4.0,4.0,3.0,,4.0,4.0,3.0,2.0,,3.0,4.0,4.0,3.0,,3.0,4.0,3.0,3.0,,3.0,5.0,5.0,2.0,,3.0,3.0,5.0,3.0,,3.0,4.0,4.0,2.0,,3.0,,3.0,2.0,,3.0,4.0,4.0,,,3.0,4.0,4.0,2.0,,3.0,4.0,4.0,3.0,48,52,DS,Dominant-Steadiness,INTP,94.0,17.0,3,3.0,1.0,7.0,4.0,2.0,2.0,2.0,4.0,6.0,7.0,8.0,9.0,5.0,3.0,3.0,6.0,7.0,1.0,6.0,9.0,Responsibility,Includer,Significance,Context,Adaptability,Intellection,Developer,Command,Strategic,Discipline,Woo,Relator,Positivity,Deliberative
EMP100002,Julia Jatmiko Situmorang,941921,PT Aurora Beauty Indonesia,Plant,Sales Supervisor,Finance,Digital Marketing,Technology,III,S2,Business,58,2.0,3.0,3.0,,4.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,,1.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,,3.0,4.0,3.0,3.0,,2.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,,,2.0,,4.0,66,38,DC,Dominant-Conscientious,,109.0,20.0,3,2.0,,4.0,2.0,5.0,7.0,2.0,8.0,4.0,,9.0,5.0,3.0,1.0,3.0,9.0,9.0,1.0,4.0,6.0,Restorative,Maximizer,Woo,Includer,Command,,Futuristic,Focus,,,Analytical,,,Positivity
EMP100003,Oka Halim,751615,PT Aurora Beauty Indonesia,Plant,HRBP,HR,Digital Marketing,Commercial,IV,S1,Psychology,15,,4.0,2.0,1.0,3.0,,,1.0,1.0,3.0,,3.0,2.0,1.0,3.0,,4.0,1.0,1.0,3.0,,4.0,2.0,1.0,4.0,,4.0,2.0,1.0,3.0,,4.0,2.0,1.0,2.0,,3.0,2.0,1.0,3.0,,3.0,3.0,1.0,3.0,,4.0,3.0,1.0,,,3.0,,,4.0,39,63,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3,,8.0,9.0,2.0,6.0,5.0,3.0,8.0,5.0,3.0,9.0,1.0,8.0,9.0,1.0,1.0,7.0,7.0,4.0,3.0,Belief,Intellection,Arranger,,Adaptability,Communication,Maximizer,Input,Command,Connectedness,Context,Significance,Developer,Activator
EMP100004,Dwi Pratama,443809,PT Lumo Cosmetics Asia,Store,Supply Planner,Operations,Product Dev,Technology,III,D3,Psychology,34,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,,,75,100,,Steadiness-Conscientious,INTJ,134.0,21.0,9,5.0,4.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0,3.0,7.0,6.0,7.0,1.0,2.0,9.0,2.0,1.0,3.0,6.0,Deliberative,Command,Woo,Communication,Ideation,Maximizer,Belief,Learner,Adaptability,Intellection,Includer,Activator,Relator,Self-Assurance
EMP100005,Bayu Zulfikar,590302,PT Aurora Beauty Indonesia,Distribution,Sales Supervisor,HR,Product Dev,Commercial,III,S2,Business,66,,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,,,1.0,3.0,2.0,2.0,1.0,1.0,,2.0,2.0,,1.0,2.0,2.0,2.0,,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,,1.0,1.0,3.0,2.0,2.0,,1.0,4.0,3.0,69,35,DC,Dominant-Conscientious,,130.0,21.0,7,,5.0,4.0,6.0,6.0,7.0,3.0,,5.0,1.0,,,6.0,2.0,8.0,1.0,8.0,2.0,8.0,9.0,Input,Relator,Woo,Deliberative,Consistency,,Includer,Empathy,Restorative,Responsibility,Belief,Learner,Arranger,Significance
EMP100006,Indra Santoso,826406,PT Aurora Beauty Indonesia,Plant,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,III,D3,Engineering,82,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,,3.0,,4.0,5.0,4.0,,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,3.0,4.0,,2.0,4.0,4.0,94,24,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6,7.0,9.0,6.0,4.0,6.0,1.0,9.0,3.0,6.0,6.0,2.0,,7.0,3.0,4.0,8.0,6.0,,,7.0,Input,Analytical,Responsibility,Maximizer,Self-Assurance,Deliberative,,Achiever,Intellection,Consistency,Discipline,Relator,Arranger,Learner
EMP100007,Rani Mahendra,878510,PT Mandala Distribution Center,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,S1,Business,56,4.0,3.0,3.0,2.0,2.0,4.0,,3.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,,4.0,4.0,3.0,,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4,1.0,2.0,5.0,2.0,2.0,7.0,1.0,7.0,7.0,2.0,7.0,9.0,9.0,9.0,3.0,3.0,5.0,9.0,,6.0,Connectedness,Strategic,Consistency,Communication,Focus,Positivity,Adaptability,Maximizer,Individualization,Context,Includer,Belief,Discipline,Woo
EMP100008,Gita Permadi,189647,PT VASKA Wellness,Store,Finance Officer,Finance,Talent Management,Commercial,III,SMA,Business,40,5.0,3.0,2.0,4.0,3.0,5.0,,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,,2.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,2.0,,3.0,,4.0,3.0,4.0,2.0,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1,5.0,6.0,2.0,,6.0,3.0,6.0,7.0,4.0,8.0,9.0,1.0,9.0,3.0,7.0,,6.0,1.0,2.0,6.0,,Ideation,Focus,Individualization,Positivity,Consistency,Context,Empathy,Discipline,Achiever,Developer,Relator,Intellection,Belief
EMP100009,Julia Anggara,931718,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,R&D,Sales,Commercial,V,S2,Design,77,,3.0,3.0,4.0,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,,3.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,3.0,4.0,2.0,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4,2.0,3.0,8.0,1.0,4.0,6.0,3.0,4.0,1.0,2.0,9.0,9.0,1.0,6.0,,6.0,3.0,8.0,7.0,9.0,Analytical,Developer,Relator,Belief,Ideation,Connectedness,Self-Assurance,Responsibility,Discipline,Achiever,Learner,Consistency,Adaptability,
